company_name,company_slug,company_url,review_count,company_type,company_size,company_address,processed
SAVIS Vietnam,savis-vietnam,https://congty.review/companies/savis-vietnam,71,product,51-150,22 Trung Yên Cau Giay Ha Noi,True
CÔNG TY TNHH BESI VIỆT NAM,cong-ty-tnhh-besi-viet-nam,https://congty.review/companies/cong-ty-tnhh-besi-viet-nam,0,Công nghệ,201-500,Tp.HCM,True
Diffwheels JSC,diffwheels-jsc,https://congty.review/companies/diffwheels-jsc,0,Headhunt,,"Tân Bình, TP HCM",True
FPT Software,fpt-software,https://congty.review/companies/fpt-software,1966,outsource,,FPT Software Đường D1 Phường Tân Phú District 9 Ho Chi Minh,True
Trivita AI,trivita-ai,https://congty.review/companies/trivita-ai,0,,,,True
Asiapac Digital,asiapac-digital,https://congty.review/companies/asiapac-digital,0,Agency marketing,10-20,"Bitexco, Quận 1, TP HCM",True
Quantix Global,quantix-global,https://congty.review/companies/quantix-global,0,IT product,50-100,"Quận 1, Tp HCM",True
Nexlab IT Solutions,nexlab-it-solutions,https://congty.review/companies/nexlab-it-solutions,0,Cybersecurity,11-50,"20 Sông Thao, quận Tân Bình, TP HCM",True
VETC Viet Nam Joint Stock Company,vetc-viet-nam-joint-stock-company,https://congty.review/companies/vetc-viet-nam-joint-stock-company,18,product,301-500,167 Trung Kinh Cau Giay Ha Noi,True
Kalasus,kalasus,https://congty.review/companies/kalasus,0,11-50,,Ho Chi Minh,True
Medigo,medigo,https://congty.review/companies/medigo,7,outsource,,,True
315 medical,315-medical,https://congty.review/companies/315-medical,0,Y tế,1000+,TPHCM,True
Datum Consulting,datum-consulting,https://congty.review/companies/datum-consulting,0,Outsourcing IT,51-200,"Street Sari Town/52-54-56 B2 ĐQM, KDC Sala, An Khánh, Hồ Chí Minh",True
cty medochemie,cty-medochemie,https://congty.review/companies/cty-medochemie,0,Dược,,Bình Dương,True
Thiên kim home,thien-kim-home,https://congty.review/companies/thien-kim-home,0,Điện máy,11-50,Tphcm,True
Apollogix,apollogix,https://congty.review/companies/apollogix,0,Logistics Technology,11-50,TP.HCM,True
Opswat,opswat,https://congty.review/companies/opswat,0,It,501-1000,Tp Hcm,True
MERY BLOOMS,mery-blooms,https://congty.review/companies/mery-blooms,0,Nông nghiệp,50-100,"Toà nhà Infinity, 19A Đặng Như Mai, Phường Cát Lái, Thành phố Hồ Chí Minh, Việt Nam",True
Secuwall,secuwall,https://congty.review/companies/secuwall,0,Cybersecurity,51-200,"Office 3503, Level 35, Marina Plaza, Al Marsa St - Dubai Marina, Dubai",True
Innorix,innorix,https://congty.review/companies/innorix,0,IT,11-50,TP.HCM,True
Công ty Cổ phần Vie Healthcare,cong-ty-co-phan-vie-healthcare,https://congty.review/companies/cong-ty-co-phan-vie-healthcare,0,Dược phẩm,20-30,Hồ Chí Minh,True
EUP,eup,https://congty.review/companies/eup,6,product,1-50,"Dong Da, Ha Noi",True
nal,nal,https://congty.review/companies/nal,0,it,,Đà Nẵng,True
Billion Ascent,billion-ascent,https://congty.review/companies/billion-ascent,14,product,11-50,"Tầng 3, 911 Nguyễn Trãi, Phường 14, Quận 5, Tp Hồ Chí Minh",True
Zalo,zalo,https://congty.review/companies/zalo,103,product,301-500,182 Le Dai Hanh District 11 Ho Chi Minh,True
TGL Solutions,tgl-solutions,https://congty.review/companies/tgl-solutions,15,outsource,,,True
Heli Diệp Tuấn,heli-diẹp-tuán,https://congty.review/companies/heli-diẹp-tuán,0,51-200,,"38/31/17 Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, TPHCM, Việt Nam",True
Commsights Việt Nam,commsights-viet-nam,https://congty.review/companies/commsights-viet-nam,5,product,51-150,"District 1, Ho Chi Minh",True
Fincorp,fincorp,https://congty.review/companies/fincorp,0,Fintech,51-200,HCM,True
Intercontinental Sun Peninsula Đà Nẵng,intercontinental-sun-peninsula-da-nang,https://congty.review/companies/intercontinental-sun-peninsula-da-nang,0,Khách sạn,501-1000,Đà Nẵng,True
Thaco,thaco,https://congty.review/companies/thaco,0,,,,True
Robert Bosch Engineering And Business Solutions,robert-bosch-engineering-and-business-solutions,https://congty.review/companies/robert-bosch-engineering-and-business-solutions,764,product,301-500,364 Cong Hoa Tan Binh Ho Chi Minh,True
PRIMA SOLUTIONS,prima-solutions,https://congty.review/companies/prima-solutions,0,IT,,Đà Nẵng,True
Công ty TNHH Vật tư y tế Minh Long,cong-ty-tnhh-vat-tu-y-te-minh-long,https://congty.review/companies/cong-ty-tnhh-vat-tu-y-te-minh-long,0,Thiết bị y tế,,Hà Nội,True
Đông Tây Hospitality,dong-tay-hospitality,https://congty.review/companies/dong-tay-hospitality,0,"Bất động sản, nhà hàng, khách sạn",501-1000,TPHCM,True
Adecco,adecco,https://congty.review/companies/adecco,44,outsource,151-500,"11 Đoàn Văn Bộ, Phường 12, Quận 4, Hồ Chí Minh",True
Công Ty TNHH Công Nghệ Cảm Tạ - CamtaTech,cam-ta-tech,https://congty.review/companies/cam-ta-tech,4,Other,1-50,"Số 2 đường Nam Kỳ Khởi Nghĩa, Phường Hoà Phú, Thành phố Thủ Dầu Một, tỉnh Bình Dương",True
Việt Mỹ Ssu,viet-my-ssu,https://congty.review/companies/viet-my-ssu,15,outsource,151-500,"198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True
