company_name,company_slug,company_url,review_count,company_type,company_size,company_address,processed
Công ty TNHH Lưu Trữ Số (123HOST) (4),cong-ty-tnhh-luu-tru-so-123host,https://congty.review/companies/cong-ty-tnhh-luu-tru-so-123host,4,,,Công ty TNHH Lưu Trữ Số (123HOST) (4) product 51-150 178 D1 Binh Thanh Ho Chi Minh,False
Mobitouch (3),mobitouch,https://congty.review/companies/mobitouch,3,,,Mobitouch (3) product 1-50 260/11 Nguyễn Thái Bình P.12 Tân Bình HS Building Tan Binh Ho Chi Minh,False
HGTECH (2),hgtech,https://congty.review/companies/hgtech,2,,,HGTECH (2) product 1-50 Dong Da Ha Noi,False
PVIF (1),pvif,https://congty.review/companies/pvif,1,,,PVIF (1) product 51-150 8 Yen Hoa Cau Giay Ha Noi,False
PAI LAB (2),pai-lab,https://congty.review/companies/pai-lab,2,,,PAI LAB (2) product 1-50 54 TNR Nguyễn Chí Thanh Dong Da Ha Noi,False
Photobank Inc. (1),photobank-inc,https://congty.review/companies/photobank-inc,1,,,Photobank Inc. (1) product 51-150 Tân Thuận District 7 Ho Chi Minh,False
Auchan Retail Viet Nam (3),auchan-retail-viet-nam,https://congty.review/companies/auchan-retail-viet-nam,3,,,Auchan Retail Viet Nam (3) outsource 51-150 Ho Chi Minh,False
KiKai Tech (3),kikai-tech,https://congty.review/companies/kikai-tech,3,,,KiKai Tech (3) product 1-50 Số 1/259 Vĩnh Hưng Hoang Mai Ha Noi,False
BESCO Consulting (4),besco-consulting,https://congty.review/companies/besco-consulting,4,,,"BESCO Consulting (4) product 1-50 Tan Binh, Ho Chi Minh",False
Shichida Vietnam (4),shichida-vietnam,https://congty.review/companies/shichida-vietnam,4,,,Shichida Vietnam (4) outsource 201 18A District 2 Ho Chi Minh,False
Mbi Motors (2),mbi-motors,https://congty.review/companies/mbi-motors,2,,,"Mbi Motors (2) product 1-50 Cau Giay, Ha Noi",False
Giải pháp Công nghệ FIOP (3),giai-phap-cong-nghe-fiop,https://congty.review/companies/giai-phap-cong-nghe-fiop,3,,,Giải pháp Công nghệ FIOP (3) product 1-50 Ho Chi Minh,False
Genuwin Solution (1),genuwin-solution,https://congty.review/companies/genuwin-solution,1,,,"Genuwin Solution (1) outsource 1-50 Binh Thanh, Ho Chi Minh",False
Pulse Active (3),pulse-active,https://congty.review/companies/pulse-active,3,,,"Pulse Active (3) product 1-50 District 1, Ho Chi Minh",False
ATOM MARKETS (1),atom-markets,https://congty.review/companies/atom-markets,1,,,"ATOM MARKETS (1) product 151-300 Ho Chi Minh, Ho Chi Minh",False
THConnect (2),thconnect,https://congty.review/companies/thconnect,2,,,THConnect (2) product 51-150 P 3208 - Tòa HH3C - Khu đô thị Linh Đàm Hoang Mai Ha Noi,False
Rebus Technologies Vietnam (1),rebus-technologies-vietnam,https://congty.review/companies/rebus-technologies-vietnam,1,,,"Rebus Technologies Vietnam (1) product 1-50 Lầu 2, 28-30 Đường D1, Khu Đô Thị Mới Him Lam District 7 Ho Chi Minh",False
Prostage (8),prostage,https://congty.review/companies/prostage,8,,,Prostage (8) outsource 51-150 117 Ly Chinh Thang District 3 Ho Chi Minh,False
KyberOSC (2),kyberosc,https://congty.review/companies/kyberosc,2,,,KyberOSC (2) outsource 1-50 Ha Noi,False
Plus PARTNERS VINA (7),plus-partners-vina,https://congty.review/companies/plus-partners-vina,7,,,"Plus PARTNERS VINA (7) product 51-150 3 3/F DONG DA BUILDING, PHAM HUNG Nam Tu Liem Ha Noi",False
Memberson Pte Ltd (4),memberson-pte-ltd,https://congty.review/companies/memberson-pte-ltd,4,,,Memberson Pte Ltd (4) product 51-150 364 Cong Hoa Tan Binh Ho Chi Minh,False
Rakuna (1),rakuna,https://congty.review/companies/rakuna,1,,,Rakuna (1) product 1-50 Ly Nam De Hoan Kiem Ha Noi,False
Chudu 43 Việt Nam (1),chudu-43-viet-nam,https://congty.review/companies/chudu-43-viet-nam,1,,,,False
GoQuo Vietnam (45),goquo-vietnam,https://congty.review/companies/goquo-vietnam,45,,,"GoQuo Vietnam (45) product 1-50 Tầng 4 CT4 Vimeco, Nguyễn Chánh Cau Giay Ha Noi",False
Web Một Chạm (10),web-mot-cham,https://congty.review/companies/web-mot-cham,10,,,Web Một Chạm (10) product 1-50 68 Nguyễn Huệ District 1 Ho Chi Minh,False
CALOFIC (2),calofic,https://congty.review/companies/calofic,2,,,CALOFIC (2) product 51-150 235 Nguyễn Văn Cừ District 1 Ho Chi Minh,False
Vifonic (2),vifonic,https://congty.review/companies/vifonic,2,,,Vifonic (2) outsource 1-50 47 Vũ Trọng Phụng Thanh Xuan Ha Noi,False
Đầu Tư Và Thương Mại Tiến Hùng Tihut (1),dau-tu-va-thuong-mai-tien-hung-tihut,https://congty.review/companies/dau-tu-va-thuong-mai-tien-hung-tihut,1,,,"Đầu Tư Và Thương Mại Tiến Hùng Tihut (1) product 1-10 Tầng 2, số 72, ngõ 521 đường Cổ Nhuế, P. Cổ Nhuế 2, Q. Bắc Từ Liêm, TP. Hà Nội",False
VASC - VNPT (2),vasc-vnpt,https://congty.review/companies/vasc-vnpt,2,,,,False
WIKIEDU (3),wikiedu,https://congty.review/companies/wikiedu,3,,,WIKIEDU (3) product 1-50 137 Hoàng Quốc Việt Cau Giay Ha Noi,False
IBK HANOI BRANCH (1),ibk-hanoi-branch,https://congty.review/companies/ibk-hanoi-branch,1,,,"IBK HANOI BRANCH (1) product 51-150 P1209, Tầng 12, Keangnam Landmark 72,Phạm Hùng Nam Tu Liem Ha Noi",False
